state,district id,court id,court name,url,key value to Navigate
andaman,southandaman,ANPB02,"Chief Judicial Magistrate, Port Blair, Andaman",https://southandaman.dcourts.gov.in/court-orders-search-by-order-date/,southandaman
andaman,southandaman,ANPB03,"Civil Judge Sr Divn, Port Blair, Andaman",https://southandaman.dcourts.gov.in/court-orders-search-by-order-date/,southandaman
andaman,southandaman,ANPB04,"Civil Judge Jr Divn, Port Blair, Andaman",https://southandaman.dcourts.gov.in/court-orders-search-by-order-date/,southandaman
andaman,southandaman,ANPB01,"District and Sessions Judge, Port Blair, Andaman",https://southandaman.dcourts.gov.in/court-orders-search-by-order-date/,southandaman
ap,anantpur,APAN10,"Jr. Civil Court, Penukonda",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN0F,"Sr. Civil Court, Penukonda",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN05,"II Adl. District Court, Hindupur",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN06,"Sr. Civil Courts, Hindupur",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN07,"Jr. Civil Court, Hindupur",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN13,"Jr. Civil Courts, Guntakal",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN11,"Jr . Civil Courts,Uravakonda",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN18,"JCJ Court, Puttaparthy",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN0D,"Sr. Civil Court, Dharmavaram",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN0E,"Jr. Civil Court, Dharmavaram",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN0B,"Sr. Civil Courts, Kadiri",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN0C,"Jr. Civil Court, Kadiri",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN14,"Spl JFCM Rlys, Guntakal",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN16,"Jr.Civil Court, Kalyandurg",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN17,"Jr. Civil Court, Madakasira",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
ap,anantpur,APAN09,"Sr.Civil courts, Gooty",https://anantapur.dcourts.gov.in/court-orders-search-by-order-date/,anantapur
